32	28	26	29	23	
78	86	84	89	96	
-6	-11	-14	-14	-11	
65	74	79	82	88	
57	48	57	49	54	
90	80	83	86	94	
43	38	36	34	41	
97	93	96	88	81	
36	30	25	32	28	
19	16	14	17	20	
-6	-8	-10	-7	-4	
20	13	6	10	12	
81	74	66	59	58	
-23	-30	-27	-18	-17	
-17	-19	-12	-3	-12	
41	35	38	30	29	
-13	-21	-20	-18	-22	
11	11	14	14	12	
-25	-21	-31	-22	-30	
74	72	75	76	72	
77	81	89	84	92	
-11	-5	-12	-10	-17	
71	64	69	73	69	
-29	-27	-25	-34	-29	
46	46	38	32	23	
75	81	91	86	80	
37	38	30	36	36	
105	109	116	119	123	
-25	-25	-34	-30	-40	
-12	-10	-13	-4	-5	
-29	-30	-32	-36	-26	
84	94	87	86	92	
0	8	17	12	9	
-8	-13	-19	-21	-14	
-20	-29	-26	-26	-36	
-3	-11	-19	-16	-24	
39	36	44	50	44	
11	3	2	8	18	
29	35	37	39	48	
89	94	103	109	116	
34	36	29	31	22	
40	42	34	44	46	
-18	-14	-18	-27	-17	
-11	-17	-20	-21	-21	
-8	-8	-17	-18	-19	
104	100	107	117	127	
55	62	53	59	63	
97	93	91	99	106	
44	52	49	47	54	
73	69	59	50	56	
44	43	53	50	40	
54	46	49	40	47	
10	7	9	13	10	
-8	-16	-14	-20	-24	
2	9	16	19	28	
80	72	79	77	81	
17	21	17	27	33	
64	72	78	79	77	
57	52	49	52	53	
-19	-22	-30	-29	-32	
16	10	5	3	13	
105	97	96	89	82	
16	23	15	15	8	
44	52	56	65	57	
18	11	20	10	8	
-22	-13	-11	-6	-1	
-19	-9	-7	3	4	
104	96	101	96	102	
27	26	20	10	3	
40	30	35	43	50	
26	26	22	24	21	
27	29	32	37	45	
-15	-23	-23	-27	-22	
45	45	46	49	43	
97	102	100	102	98	
60	50	46	49	58	
68	65	64	72	77	
50	47	55	56	61	
10	7	5	11	1	
-21	-24	-23	-28	-30	
-18	-14	-9	-13	-10	
79	77	75	78	72	
105	102	94	92	97	
32	42	43	33	30	
85	90	97	106	111	
71	74	73	67	77	
9	8	-1	0	1	
39	33	31	26	25	
69	66	56	65	71	
77	83	87	77	86	
52	59	51	60	52	
95	99	99	96	96	
15	19	23	17	10	
49	41	39	49	57	
105	95	87	79	74	
71	71	76	83	84	
29	38	33	27	34	
-4	-6	-2	0	-3	
28	20	26	17	19	
-7	2	11	17	8	
