67	72	80	86	84	
23	14	22	14	24	
44	40	36	28	35	
36	38	44	49	42	
12	4	-3	-2	1	
77	77	82	88	84	
44	45	51	44	39	
100	96	94	99	94	
78	77	87	88	80	
49	41	44	51	59	
104	103	99	109	119	
57	49	46	36	39	
57	64	54	62	59	
63	57	47	51	42	
7	7	-1	6	1	
-8	-8	-8	-12	-2	
41	43	50	45	41	
76	80	70	62	66	
-23	-33	-31	-22	-31	
-1	-3	-6	-6	-5	
26	24	34	32	26	
39	37	38	34	37	
23	17	27	32	25	
16	23	21	31	28	
29	26	18	14	18	
43	46	54	50	41	
63	58	61	62	52	
-4	-12	-7	1	-5	
-16	-12	-4	-11	-6	
10	15	8	0	-9	
46	40	34	38	35	
82	74	79	84	89	
26	29	23	29	35	
-4	3	-5	2	-7	
-27	-27	-22	-19	-22	
-9	-12	-4	-1	4	
100	95	94	99	104	
87	97	92	84	88	
37	43	46	53	55	
83	87	89	87	97	
18	18	12	18	22	
29	36	41	34	39	
-29	-34	-27	-25	-19	
75	73	83	77	80	
33	30	22	17	14	
91	91	86	79	81	
54	55	64	67	75	
2	-1	8	4	7	
24	19	9	13	5	
-4	-8	-7	-13	-18	
92	88	98	101	96	
7	0	0	10	16	
72	82	80	85	91	
74	65	59	50	60	
89	96	89	91	93	
19	14	13	10	19	
44	37	28	25	26	
62	66	73	65	58	
65	65	64	73	78	
57	54	46	54	54	
-6	-6	-10	-8	-16	
-21	-27	-26	-34	-39	
-7	-16	-8	-11	-13	
4	13	18	13	6	
32	31	34	32	23	
32	30	21	25	30	
67	72	62	59	54	
29	34	25	20	25	
96	102	95	102	108	
59	68	78	88	82	
-25	-26	-28	-23	-13	
83	81	81	83	75	
93	84	80	76	83	
72	71	66	64	59	
-21	-18	-20	-17	-25	
33	30	31	28	36	
101	105	101	111	116	
-16	-24	-19	-23	-25	
45	52	42	43	42	
4	1	9	8	-2	
78	79	84	85	89	
11	9	15	20	14	
44	46	45	39	32	
-21	-30	-25	-32	-36	
81	78	68	77	67	
-9	-14	-23	-28	-32	
84	79	82	72	69	
39	42	34	37	40	
42	50	48	58	55	
87	81	82	81	83	
31	25	34	28	20	
33	28	26	24	14	
95	93	96	102	96	
-18	-11	-21	-28	-28	
69	59	53	63	65	
-25	-21	-18	-14	-5	
-19	-12	-2	3	-5	
89	91	96	105	114	
22	19	17	21	14	
31	26	34	29	22	
