-4	-10	-14	-14	-12	
-25	-21	-11	-9	-12	
55	62	69	78	87	
46	46	36	45	45	
48	57	56	55	46	
66	62	67	75	83	
52	60	56	55	48	
101	96	104	106	100	
70	73	75	76	84	
38	42	37	39	29	
-1	0	-3	7	0	
29	38	32	29	21	
89	92	94	91	95	
96	96	98	91	87	
93	100	99	101	98	
71	67	61	60	53	
-21	-17	-19	-23	-30	
67	76	82	90	92	
104	99	109	101	102	
-18	-15	-15	-13	-22	
33	25	18	21	23	
59	67	76	76	82	
-10	-8	0	-3	-7	
14	18	17	27	29	
19	12	7	15	10	
61	66	76	75	69	
25	27	21	20	22	
53	44	51	55	46	
-30	-35	-35	-37	-35	
-15	-23	-25	-28	-35	
-22	-24	-27	-37	-43	
29	23	14	11	16	
-15	-20	-22	-16	-12	
25	30	40	41	49	
-19	-16	-21	-31	-28	
49	53	54	62	62	
6	7	13	11	15	
0	-1	-7	-14	-20	
33	38	34	40	42	
-12	-5	3	8	2	
38	36	42	52	46	
101	108	108	114	123	
54	48	38	33	36	
30	36	45	45	39	
29	34	43	41	41	
53	45	49	39	44	
102	103	101	102	93	
87	96	101	109	100	
84	94	91	90	94	
-11	-11	-14	-7	3	
101	104	103	95	105	
42	50	49	49	47	
81	74	78	84	76	
38	39	45	40	47	
89	89	80	89	89	
-4	-4	-6	-8	-9	
27	35	36	45	46	
15	14	6	9	4	
-14	-22	-19	-17	-9	
-28	-28	-25	-35	-44	
-20	-26	-21	-29	-26	
16	20	25	28	30	
20	23	27	26	20	
17	27	24	33	24	
38	36	46	49	45	
18	28	27	24	26	
-15	-5	-12	-11	-5	
71	80	83	87	91	
47	38	40	35	36	
64	54	51	56	46	
88	78	72	69	68	
99	109	105	95	100	
61	67	77	71	73	
90	84	94	101	101	
-14	-24	-23	-17	-18	
59	56	54	63	71	
27	30	33	34	41	
69	68	62	63	55	
96	94	89	94	92	
7	14	19	15	17	
60	67	58	54	58	
84	82	81	78	86	
15	10	15	21	21	
67	70	73	77	67	
-21	-27	-31	-41	-46	
-29	-26	-21	-20	-21	
92	101	92	82	91	
67	69	62	67	63	
2	8	4	11	17	
79	72	77	78	71	
73	82	91	99	104	
94	88	94	96	90	
-16	-24	-24	-20	-29	
81	72	64	69	65	
-18	-27	-22	-27	-25	
101	95	85	86	90	
-7	-1	6	11	9	
72	76	76	74	67	
90	86	84	92	95	
-22	-20	-15	-24	-19	
